,distance,avg_slope,avg_speed,prop_moving
mean,30.414226132704712,2.4231970718462743,13.66126647791488,0.8502330048263966
std,20.497218584909564,1.1509603902457977,3.240012836099418,0.14514186951761915
column_importance,1.0,2.0,1.0,1.0
